실과명,법인종류,허가번호,법인명칭,대표자,법  인  주  소,허가년도,임원,기능 및 목적,소관분야,비 고
체육진흥과,사단법인,제2019-2,천안남서울스포츠클럽,추종호,"천안시 서북구 성환읍 성진로 80-6, 2층",2019-12-16,6,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2019-3,한국레저스포츠진흥회,김창수,아산시 번영로 69번길 24(온천동) 2층 201호,2019-12-19,8,레저스포츠 경기대회 및 콘텐츠 개발 등 레저스포츠 진흥에 이바지 ,생활,
체육진흥과,사단법인,제2019-4,서산시스포츠클럽,강명신,"서산시 안견로 661, 서산시민체육관(갈산동)",2019-12-30,9,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2020-01,당진해나루스포츠클럽,김만수,당진시 고대면 고대로 33,2020-01-15,11,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2020-02,보령머드스포츠클럽,이정석,"보령시 남포면 보령남로 343, 보령종합경기장내 1층",2020-03-18,16,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2020-03,서산수영스포츠클럽,김경태,서산시 문화로 118-12(서산학생수영장),2020-08-19,11,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2020-04,충남당진시민축구단,안기영,충남 당진시 백암2길 25-30,2020-10-14,7,"당진시 축구의 저변확대, 스포츠를 통한 시민의 건전한 여가선용 도모",전문,
체육진흥과,사단법인,제2020-05,예산스포츠클럽,김성원,예산군 예산읍 예산로354(예산종합운동장2층),2020-11-05,11,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2020-06,금산중부대스포츠클럽,유수영,금산군 추부면 대학로 201 범농관 214호,2020-12-30,11,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2021-01,천안시롤러스포츠클럽,황언환,천안시 서북구 번영로 208(천안종합운동장 1층),2021-02-17,6,"지역 내 다양한 계층이 쉽게 참여할 수 있고, 스포츠클럽에 대한 이해를 높여 스포츠 문화 활성화에 기여 등",생활,
체육진흥과,사단법인,제2021-02,충청남도체육회,김덕호,"홍성군 홍북면 충남대로21, 의회동 105호",2021-05-18,31,"충청남도민의 건강과 체력증진, 여가선용 및 복지향상과 체육인의 인권과 권익 보호에 이바지, 우수한 경기자 양성 등",생활,
체육진흥과,사단법인,제2021-03,계룡스포츠클럽,김봉국,계룡시 엄사면 문화1로 18`19,2021-07-08,7,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2021-04,만세보령FC스포츠클럽,강철호,보령시 대천방조제로 322,2021-09-13,10,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2021-05,아산하키한우리스포츠클럽,김영준,"아산시 청운로 157, 1층(권곡동)",2021-10-18,11,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2021-06,한국스포츠산업진흥원,이재범,"천안시 동남구 충절로 228, 3층(구성동)",2021-12-01,13,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,통합,
체육진흥과,사단법인,제2022-01,보령머드탁구스포츠클럽,강철호,"충남 보령시 대천로 136(죽정동, 대천체육관)",2022-02-03,12,다세대 다계층회원에게 지역주민 누구나 손쉽게 운동할 수 있는 생활체육여건 제공,생활,
체육진흥과,사단법인,제2022-07,충청남도노인체육회,최희택,"아산시 번영로 73, 나동(온천동)",2022-09-15,17,노인 생활체육 활동을 활성화하여 노인 건강증진과 여가선용 도모,생활,
체육진흥과,사단법인,제2023-01,대전MBC국제오픈태권도 조직위원회,김영근,충청남도 논산시 체육로 110(논산시 시민운동장 1층),2023-08-04,6,"태권도 발전, 태권도인의 건강 증진, 여가선용 및 복지향상에 이바지하고, 태권도의 한류문화 확대 및 체육문화 교류를 통한 가치확산, 국가발전에 기여",전문,
체육진흥과,사단법인,제2023-02,이순신백의종군길마라톤,이건영,"충남 아산시 시민로 457번길 4-1, 2층",2023-11-21,8,"마라톤스포츠의 보급과 장려, 마라톤을 통한 건강한 생활문화 보급, 마라토너의 권익보호",생활,
체육진흥과,사단법인,제2024-01,강경덕유정,김남선,충남 논산시 강경읍 동흥리 47,2024-01-19,5,전통무예인 궁도의 활성화를 통하여 심신단련 및 상부상조와 미풍양속의 계승발전을 도모 ,생활,
